iter	Passed	Remaining
0	1	159
1	2	144
2	4	138
3	5	126
4	6	123
5	7	119
6	8	117
7	10	116
8	11	116
9	12	115
10	14	114
11	15	112
12	16	112
13	18	111
14	19	109
15	20	107
16	21	106
17	23	104
18	24	103
19	25	102
20	27	102
21	28	100
22	29	99
23	31	98
24	32	97
25	33	95
26	35	94
27	36	93
28	37	91
29	38	90
30	40	89
31	41	88
32	42	87
33	44	86
34	45	84
35	46	83
36	48	82
37	49	80
38	50	79
39	51	77
40	54	78
41	55	76
42	56	74
43	58	73
44	59	72
45	61	71
46	62	70
47	63	68
48	64	67
49	66	66
50	67	65
51	69	64
52	70	62
53	72	61
54	73	59
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	86	44
66	88	43
67	89	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	96	33
74	97	32
75	98	31
76	100	29
77	101	28
78	102	27
79	104	26
80	105	24
81	106	23
82	108	22
83	109	20
84	110	19
85	111	18
86	113	16
87	114	15
88	116	14
89	117	13
90	118	11
91	120	10
92	122	9
93	123	7
94	125	6
95	126	5
96	128	3
97	129	2
98	131	1
99	132	0
