iter	Passed	Remaining
0	168	168035
1	170	84996
2	171	57149
3	174	43330
4	175	34963
5	180	29859
6	182	25845
7	184	22823
8	186	20506
9	187	18543
10	188	16957
11	189	15598
12	190	14462
13	193	13609
14	194	12762
15	195	12011
16	196	11367
17	197	10794
18	198	10272
19	200	9804
20	201	9400
21	202	9019
22	204	8668
23	205	8358
24	207	8090
25	209	7849
26	211	7621
27	212	7393
28	214	7180
29	216	6985
30	217	6792
31	220	6668
32	221	6490
33	222	6326
34	223	6166
35	224	6023
36	226	5897
37	228	5780
38	229	5663
39	231	5547
40	233	5471
41	236	5383
42	254	5668
43	256	5565
44	257	5467
45	258	5369
46	260	5273
47	261	5181
48	262	5096
49	263	5015
50	266	4965
51	268	4891
52	269	4814
53	270	4738
54	271	4668
55	272	4599
56	273	4530
57	275	4475
58	277	4424
59	279	4376
60	280	4322
61	281	4263
62	283	4210
63	284	4160
64	285	4113
65	287	4065
66	289	4032
67	291	3997
68	293	3956
69	295	3921
70	296	3875
71	297	3829
72	298	3786
73	299	3744
74	300	3707
75	302	3676
76	304	3650
77	305	3615
78	307	3581
79	308	3547
80	309	3512
81	310	3478
82	311	3439
83	312	3405
84	313	3372
85	314	3340
86	315	3308
87	316	3277
88	317	3253
89	319	3226
90	321	3213
91	324	3198
92	325	3174
93	327	3153
94	328	3127
95	329	3102
96	331	3086
97	333	3067
98	334	3045
99	335	3022
100	337	3001
101	338	2980
102	340	2962
103	341	2940
104	342	2916
105	343	2897
106	345	2887
107	347	2871
108	349	2853
109	351	2840
110	352	2822
111	353	2804
112	354	2785
113	356	2769
114	357	2753
115	359	2741
116	361	2726
117	362	2711
118	364	2698
119	365	2683
120	367	2667
121	368	2648
122	369	2632
123	370	2619
124	372	2604
125	373	2591
126	375	2579
127	377	2573
128	379	2563
129	380	2548
130	381	2533
131	382	2518
132	384	2504
133	385	2488
134	386	2474
135	387	2460
136	388	2449
137	390	2436
138	391	2423
139	392	2412
140	394	2404
141	395	2388
142	396	2374
143	397	2362
144	398	2350
145	399	2337
146	417	2424
147	421	2425
148	422	2414
149	424	2404
150	426	2396
151	427	2387
152	429	2377
153	432	2377
154	434	2370
155	436	2359
156	438	2355
157	440	2346
158	441	2336
159	443	2327
160	444	2314
161	446	2312
162	449	2305
163	453	2313
164	456	2309
165	458	2303
166	459	2293
167	462	2288
168	463	2279
169	465	2273
170	467	2265
171	468	2257
172	470	2247
173	471	2239
174	473	2230
175	475	2225
176	477	2218
177	479	2214
178	480	2205
179	481	2195
180	482	2185
181	484	2175
182	485	2166
183	486	2156
184	487	2145
185	488	2136
186	489	2127
187	490	2120
188	492	2111
189	493	2101
190	494	2092
191	495	2083
192	496	2075
193	497	2065
194	498	2058
195	499	2048
196	500	2039
197	501	2031
198	502	2021
199	503	2014
200	505	2008
201	506	2001
202	508	1996
203	510	1991
204	511	1984
205	513	1978
206	514	1970
207	515	1962
208	516	1954
209	519	1954
210	521	1948
211	522	1941
212	523	1933
213	524	1925
214	525	1918
215	526	1911
216	527	1904
217	529	1897
218	533	1904
219	536	1902
220	539	1903
221	542	1901
222	545	1899
223	548	1901
224	550	1896
225	552	1890
226	553	1885
227	554	1878
228	556	1873
229	558	1868
230	560	1865
231	561	1859
232	563	1853
233	564	1848
234	566	1843
235	567	1838
236	569	1833
237	570	1827
238	571	1820
239	572	1813
240	574	1808
241	575	1802
242	576	1795
243	577	1788
244	578	1781
245	578	1774
246	579	1767
247	580	1760
248	581	1753
249	583	1749
250	584	1743
251	585	1736
252	586	1730
253	587	1724
254	588	1719
255	589	1713
256	591	1709
257	592	1704
258	593	1699
259	595	1694
260	596	1689
261	597	1683
262	598	1677
263	599	1671
264	600	1665
265	601	1660
266	603	1656
267	604	1651
268	606	1647
269	607	1642
270	609	1638
271	610	1634
272	612	1630
273	613	1626
274	614	1620
275	615	1615
276	617	1612
277	618	1607
278	620	1603
279	621	1599
280	622	1593
281	624	1589
282	625	1585
283	626	1579
284	627	1575
285	628	1569
286	630	1567
287	632	1562
288	633	1558
289	636	1557
290	637	1554
291	639	1549
292	640	1546
293	641	1541
294	643	1537
295	644	1533
296	645	1529
297	647	1524
298	648	1520
299	649	1516
300	651	1511
301	652	1507
302	653	1503
303	654	1498
304	655	1493
305	656	1488
306	657	1484
307	660	1484
308	663	1483
309	665	1480
310	666	1476
311	667	1471
312	668	1467
313	669	1463
314	670	1458
315	671	1453
316	673	1450
317	676	1449
318	677	1446
319	679	1442
320	679	1438
321	680	1433
322	682	1429
323	683	1425
324	684	1420
325	685	1416
326	686	1412
327	688	1410
328	689	1406
329	690	1402
330	692	1399
331	693	1396
332	695	1393
333	697	1390
334	698	1387
335	700	1383
336	701	1380
337	703	1378
338	704	1374
339	706	1371
340	708	1369
341	710	1366
342	711	1362
343	712	1358
344	713	1353
345	713	1349
346	714	1345
347	716	1341
348	717	1339
349	719	1335
350	720	1332
351	721	1328
352	722	1324
353	723	1320
354	724	1317
355	726	1313
356	727	1309
357	729	1307
358	731	1305
359	733	1303
360	735	1301
361	736	1298
362	737	1293
363	738	1289
364	738	1285
365	739	1281
366	742	1279
367	743	1276
368	745	1274
369	747	1273
370	749	1270
371	750	1266
372	751	1263
373	752	1259
374	754	1256
375	755	1254
376	757	1252
377	760	1250
378	762	1248
379	763	1246
380	766	1245
381	769	1244
382	771	1242
383	775	1243
384	777	1242
385	779	1240
386	782	1239
387	784	1237
388	785	1234
389	789	1235
390	791	1232
391	793	1231
392	796	1229
393	797	1227
394	799	1224
395	804	1226
396	805	1223
397	807	1221
398	809	1219
399	810	1215
400	811	1212
401	812	1209
402	814	1206
403	816	1204
404	819	1203
405	820	1200
406	821	1197
407	822	1194
408	824	1190
409	825	1187
410	826	1184
411	827	1180
412	828	1177
413	830	1174
414	832	1173
415	834	1171
416	836	1168
417	837	1166
418	839	1163
419	840	1161
420	842	1158
421	844	1157
422	845	1153
423	847	1151
424	849	1149
425	851	1147
426	852	1144
427	853	1141
428	854	1137
429	856	1134
430	857	1131
431	858	1129
432	860	1126
433	862	1124
434	864	1122
435	865	1119
436	866	1116
437	868	1113
438	869	1110
439	870	1107
440	871	1104
441	873	1103
442	875	1101
443	877	1098
444	891	1112
445	895	1111
446	897	1110
447	898	1107
448	907	1113
449	911	1114
450	912	1111
451	914	1108
452	915	1105
453	916	1102
454	924	1107
455	931	1111
456	940	1117
457	944	1117
458	947	1117
459	951	1116
460	952	1114
461	955	1112
462	957	1110
463	958	1107
464	960	1105
465	963	1104
466	965	1101
467	967	1099
468	970	1099
469	972	1097
470	975	1095
471	979	1095
472	984	1097
473	986	1094
474	987	1091
475	989	1088
476	990	1086
477	992	1083
478	993	1081
479	998	1081
480	1000	1079
481	1001	1076
482	1002	1073
483	1004	1070
484	1005	1068
485	1007	1066
486	1011	1065
487	1012	1061
488	1013	1059
489	1014	1056
490	1015	1053
491	1017	1050
492	1022	1051
493	1024	1049
494	1025	1046
495	1027	1043
496	1029	1041
497	1030	1039
498	1031	1036
499	1032	1032
500	1035	1031
501	1037	1029
502	1039	1026
503	1040	1023
504	1041	1020
505	1042	1017
506	1043	1014
507	1044	1011
508	1045	1008
509	1046	1005
510	1047	1002
511	1050	1001
512	1052	998
513	1053	996
514	1054	993
515	1055	990
516	1056	987
517	1058	984
518	1059	981
519	1060	978
520	1061	975
521	1062	972
522	1063	970
523	1065	967
524	1066	964
525	1067	961
526	1068	959
527	1070	956
528	1071	953
529	1072	950
530	1072	947
531	1073	944
532	1075	942
533	1077	940
534	1080	938
535	1081	936
536	1083	934
537	1085	931
538	1086	929
539	1089	927
540	1090	925
541	1091	922
542	1093	920
543	1094	917
544	1095	914
545	1096	911
546	1097	908
547	1098	906
548	1099	903
549	1100	900
550	1102	898
551	1104	896
552	1108	895
553	1110	894
554	1112	892
555	1114	890
556	1116	888
557	1118	885
558	1119	883
559	1122	881
560	1123	879
561	1124	876
562	1126	874
563	1127	871
564	1128	869
565	1130	866
566	1131	864
567	1133	861
568	1138	862
569	1140	860
570	1142	858
571	1143	855
572	1145	853
573	1146	850
574	1149	849
575	1150	846
576	1156	847
577	1160	846
578	1161	844
579	1164	843
580	1166	841
581	1167	838
582	1168	836
583	1171	834
584	1172	831
585	1173	828
586	1175	826
587	1182	828
588	1190	830
589	1195	830
590	1197	828
591	1198	826
592	1200	823
593	1202	821
594	1204	820
595	1208	819
596	1210	817
597	1211	814
598	1213	812
599	1215	810
600	1216	807
601	1217	805
602	1218	802
603	1220	800
604	1221	797
605	1223	795
606	1224	792
607	1226	790
608	1227	788
609	1228	785
610	1229	783
611	1230	780
612	1231	777
613	1232	775
614	1234	772
615	1236	770
616	1237	768
617	1239	766
618	1241	763
619	1242	761
620	1243	759
621	1245	757
622	1247	754
623	1252	754
624	1254	752
625	1256	750
626	1258	748
627	1259	745
628	1260	743
629	1261	740
630	1262	738
631	1264	736
632	1266	734
633	1267	731
634	1269	729
635	1270	727
636	1272	725
637	1273	722
638	1274	720
639	1275	717
640	1276	715
641	1278	712
642	1280	710
643	1281	708
644	1283	706
645	1285	704
646	1287	702
647	1288	699
648	1290	697
649	1291	695
650	1293	693
651	1295	691
652	1297	689
653	1299	687
654	1302	685
655	1303	683
656	1304	680
657	1305	678
658	1307	676
659	1308	674
660	1310	671
661	1312	670
662	1313	667
663	1315	665
664	1316	663
665	1317	660
666	1318	658
667	1318	655
668	1319	652
669	1320	650
670	1321	648
671	1322	645
672	1324	643
673	1325	641
674	1327	639
675	1329	637
676	1330	634
677	1331	632
678	1332	630
679	1334	627
680	1336	625
681	1339	624
682	1341	622
683	1343	620
684	1344	618
685	1345	616
686	1346	613
687	1347	611
688	1348	608
689	1355	609
690	1359	607
691	1360	605
692	1361	603
693	1362	600
694	1363	598
695	1365	596
696	1366	594
697	1368	591
698	1369	589
699	1371	587
700	1372	585
701	1373	583
702	1374	580
703	1375	578
704	1377	576
705	1378	574
706	1381	572
707	1382	570
708	1384	568
709	1385	566
710	1387	563
711	1388	561
712	1389	559
713	1390	557
714	1391	554
715	1393	552
716	1395	550
717	1396	548
718	1397	546
719	1400	544
720	1402	542
721	1403	540
722	1404	538
723	1405	535
724	1406	533
725	1408	531
726	1409	529
727	1410	527
728	1412	525
729	1413	522
730	1414	520
731	1415	518
732	1416	516
733	1418	513
734	1419	511
735	1420	509
736	1421	507
737	1422	505
738	1425	503
739	1426	501
